id,price,accommodates,bedrooms,bathrooms,host_is_superhost,host_has_profile_pic
1090307,109.0,2,1.0,1.0,t,t
15108,60.0,2,1.0,1.5,f,t
1882316,249.0,6,3.0,3.0,f,t
1095207,250.0,7,3.0,3.0,f,t
1343805,100.0,4,3.0,2.0,f,t
9217150,74.0,2,0.0,1.0,f,t
103920,235.0,4,2.0,1.0,f,t
2215336,99.0,5,2.0,1.0,f,t
1483944,96.0,3,1.0,1.0,f,t
6466129,92.0,4,1.0,1.0,t,t
8536441,85.0,4,1.0,1.0,f,t
6262987,55.0,4,1.0,1.0,f,t
8379081,55.0,4,1.0,1.0,f,t
8365938,80.0,2,1.0,1.0,f,t
9921445,195.0,4,1.0,1.0,f,t
132160,145.0,6,2.0,1.0,t,t
2033191,180.0,4,2.0,1.0,t,t
8849407,50.0,2,1.0,1.0,f,t
9922335,160.0,4,2.0,1.0,f,t
7243974,140.0,5,2.0,1.0,f,t
6490453,140.0,2,1.0,1.0,f,t
4025593,40.0,2,1.0,1.0,t,t
8556103,145.0,2,1.0,1.0,f,t
955506,225.0,4,2.0,1.0,f,t
9868607,325.0,4,2.0,1.5,f,t
8668073,199.0,5,2.0,2.0,f,t
790860,450.0,7,3.0,1.0,f,t
261912,175.0,4,2.0,1.0,t,t
368403,550.0,12,6.0,3.0,f,t
9878971,149.0,7,3.0,2.0,f,t
5602370,130.0,2,1.0,1.0,f,t
9395217,85.0,2,0.0,1.0,f,t
7331079,300.0,4,3.0,1.0,f,t
580182,79.0,6,3.0,1.5,t,t
8152191,59.0,2,1.0,1.0,f,t
103908,140.0,2,1.0,1.0,f,t
783061,60.0,2,1.0,1.5,t,t
7901725,215.0,8,3.0,2.5,f,t
4968752,100.0,5,2.0,1.5,t,t
14386,40.0,2,1.0,1.5,f,t
7517215,99.0,4,1.0,1.0,f,t
1602421,45.0,2,1.0,1.5,f,t
3821822,75.0,3,1.0,1.0,t,t
6073437,119.0,2,0.0,1.0,f,t
7917700,99.0,2,1.0,1.0,f,t
6278181,225.0,6,3.0,1.0,f,t
4279578,85.0,2,1.0,1.0,t,t
9907337,135.0,4,2.0,1.0,f,t
1796861,335.0,6,3.0,1.5,f,t
4211836,79.0,2,1.0,1.0,f,t
4025954,90.0,2,1.0,1.0,f,t
6154478,111.0,2,1.0,1.5,f,t
84030,110.0,4,1.0,1.0,f,t
4235559,325.0,8,3.0,2.0,f,t
830948,85.0,2,1.0,1.0,f,t
3468261,190.0,2,1.0,1.0,f,t
